lexeme     | tag             | row        | column    
--------------------------------------------------
miniRC     | IDENTIFIER      | 1          | 1         
=          | =               | 1          | 7         
function   | KEYWORD         | 1          | 8         
(          | (               | 1          | 16        
integer    | KEYWORD         | 1          | 17        
N          | IDENTIFIER      | 1          | 25        
,          | ,               | 1          | 26        
integer    | KEYWORD         | 1          | 28        
K          | IDENTIFIER      | 1          | 36        
,          | ,               | 1          | 37        
double     | KEYWORD         | 1          | 39        
rc         | IDENTIFIER      | 1          | 46        
)          | )               | 1          | 48        
{          | {               | 1          | 49        
integer    | KEYWORD         | 2          | 6         
a          | IDENTIFIER      | 2          | 14        
[          | [               | 2          | 15        
10         | INT             | 2          | 16        
]          | ]               | 2          | 18        
[          | [               | 2          | 19        
20         | INT             | 2          | 20        
]          | ]               | 2          | 22        
;          | ;               | 2          | 23        
double     | KEYWORD         | 3          | 6         
b          | IDENTIFIER      | 3          | 13        
[          | [               | 3          | 14        
19         | INT             | 3          | 15        
]          | ]               | 3          | 17        
;          | ;               | 3          | 18        
if         | KEYWORD         | 5          | 6         
(          | (               | 5          | 8         
N          | IDENTIFIER      | 5          | 9         
==         | ==              | 5          | 9         
1          | INT             | 5          | 12        
)          | )               | 5          | 13        
return     | KEYWORD         | 5          | 15        
(          | (               | 5          | 21        
0          | INT             | 5          | 22        
)          | )               | 5          | 23        
;          | ;               | 5          | 24        
integer    | KEYWORD         | 6          | 6         
KL         | IDENTIFIER      | 6          | 14        
=          | =               | 6          | 16        
floor      | IDENTIFIER      | 6          | 17        
(          | (               | 6          | 22        
K          | IDENTIFIER      | 6          | 23        
*          | *               | 6          | 25        
rc         | IDENTIFIER      | 6          | 27        
)          | )               | 6          | 29        
;          | ;               | 6          | 30        
#split N   | #               | 6          | 40        
if         | KEYWORD         | 7          | 6         
(          | (               | 7          | 8         
KL         | IDENTIFIER      | 7          | 9         
<          | <               | 7          | 12        
1          | INT             | 7          | 14        
||         | ||              | 7          | 15        
KL         | IDENTIFIER      | 7          | 19        
>          | >               | 7          | 22        
(          | (               | 7          | 24        
K          | IDENTIFIER      | 7          | 25        
-          | -               | 7          | 26        
1          | INT             | 7          | 27        
)          | )               | 7          | 28        
)          | )               | 7          | 29        
KL         | IDENTIFIER      | 8          | 13        
=          | =               | 8          | 16        
1          | INT             | 8          | 18        
;          | ;               | 8          | 19        
else       | KEYWORD         | 9          | 6         
if         | KEYWORD         | 9          | 11        
(          | (               | 9          | 14        
KL         | IDENTIFIER      | 9          | 15        
>          | >               | 9          | 18        
.5         | REAL            | 9          | 20        
*          | *               | 9          | 22        
K          | IDENTIFIER      | 9          | 23        
)          | )               | 9          | 24        
KL         | IDENTIFIER      | 10         | 13        
=          | =               | 10         | 16        
ceiling    | IDENTIFIER      | 10         | 18        
(          | (               | 10         | 25        
KL         | IDENTIFIER      | 10         | 26        
/          | /               | 10         | 29        
2.0        | REAL            | 10         | 31        
)          | )               | 10         | 34        
12KR       | ERROR           | 12         | 6         
=          | =               | 12         | 11        
K          | IDENTIFIER      | 12         | 13        
-          | -               | 12         | 15        
KL         | IDENTIFIER      | 12         | 17        
integer    | KEYWORD         | 14         | 6         
NL         | IDENTIFIER      | 14         | 14        
@          | ERROR           | 14         | 16        
@          | ERROR           | 14         | 17        
=          | =               | 14         | 19        
ceiling    | IDENTIFIER      | 14         | 21        
(          | (               | 14         | 28        
N          | IDENTIFIER      | 14         | 29        
*          | *               | 14         | 31        
KL         | IDENTIFIER      | 14         | 33        
/          | /               | 14         | 36        
K          | IDENTIFIER      | 14         | 38        
)          | )               | 14         | 39        
#split N   | #               | 14         | 46        
integer    | KEYWORD         | 15         | 6         
NR         | IDENTIFIER      | 15         | 14        
=          | =               | 15         | 17        
N          | IDENTIFIER      | 15         | 19        
-          | -               | 15         | 21        
NL         | IDENTIFIER      | 15         | 23        
return     | KEYWORD         | 17         | 6         
(          | (               | 17         | 12        
1          | INT             | 17         | 14        
+          | +               | 17         | 15        
(          | (               | 17         | 16        
NL         | IDENTIFIER      | 17         | 17        
*          | *               | 17         | 20        
miniRC     | IDENTIFIER      | 17         | 22        
(          | (               | 17         | 28        
NL         | IDENTIFIER      | 17         | 29        
,          | ,               | 17         | 31        
KL         | IDENTIFIER      | 17         | 33        
,          | ,               | 17         | 35        
rc         | IDENTIFIER      | 17         | 37        
)          | )               | 17         | 39        
+          | +               | 17         | 41        
NR         | IDENTIFIER      | 17         | 43        
*          | *               | 17         | 46        
miniRC     | IDENTIFIER      | 17         | 48        
(          | (               | 17         | 54        
NR         | IDENTIFIER      | 17         | 55        
,          | ,               | 17         | 57        
KR         | IDENTIFIER      | 17         | 59        
,          | ,               | 17         | 61        
rc         | IDENTIFIER      | 17         | 63        
)          | )               | 17         | 65        
)          | )               | 17         | 66        
/          | /               | 17         | 68        
N          | IDENTIFIER      | 17         | 70        
)          | )               | 17         | 71        
}          | }               | 19         | 1         

--------------------------------------------------
Error:
line 12, column 6: invalid identifier 12KR
line 14, column 16: unknown symbol @
line 14, column 17: unknown symbol @
